,id,name,area_name,salary_from,salary_to,salary_ccy,salary_gross
15866,46857624,Middle Backend developer (PHP),Санкт-Петербург,160000.0,,RUR,False
15868,46857708,Бизнес-аналитик,Ростов-на-Дону,,,,
15869,46858152,Разработчик мобильных приложений React Native (Junior),Санкт-Петербург,,,,
15870,46858208,Тестировщик / QA Engineer,Томск,30000.0,80000.0,RUR,False
15872,46858830,Специалист технической поддержки,Москва,,,,
15873,46859030,Системный аналитик,Ростов-на-Дону,,,,
15876,46859374,Data Scientist в команду «Матчинг»,Москва,,,,
15878,46859993,Frontend-разработчик,Нижний Новгород,,,,
15879,46860021,Инженер-разработчик электроники,Владимир,,,,
15880,46860036,Flutter-разработчик,Москва,,300000.0,RUR,False
15881,46860567,Системный администратор,Магнитогорск,,,,
15882,46860622,IOS-разработчик/ iOS developer,Москва,,,,
15884,46860961,Senior QA Automation Engineer,Москва,,,,
15885,46861308,Старший бизнес-аналитик,Москва,,,,
15887,46861881,Стажер- инженер технической поддержки,Москва,,,,
15889,46861993,Специалист поддержки пользователей в FL.ru,Москва,,,,
15890,46862110,Бизнес-аналитик,Москва,,,,
15891,46863159,Manual QA Engineer,Москва,,,,
15892,46863762,DevOps-инженер,Санкт-Петербург,,,,
15895,46863977,Функциональный тестировщик,Москва,,,,
15897,46864135,Тестировщик / QA Engineer (middle),Москва,,,,
15900,46865476,Разработчик back-end,Москва,,,,
15902,46865649,Консультант - аналитик 1С,Ростов-на-Дону,40000.0,50000.0,RUR,True
15903,46865876,Разработчик back-end,Новосибирск,,,,
15905,46866208,Системный администратор,Санкт-Петербург,,,,
15907,46866602,QA engineer (mobile) / тестировщик в команду разработки мобильных приложений,Санкт-Петербург,80000.0,110000.0,RUR,False
15909,46867378,Android разработчик (Middle+),Москва,,,,
15910,46867382,IOS разработчик (Middle+),Москва,,,,
15911,46868336,Системный администратор,Черкесск,40000.0,50000.0,RUR,False
15913,46869429,Программист С++,Санкт-Петербург,80000.0,200000.0,RUR,False
15914,46869992,"Инженер-программист АСУ ТП (WinCC, PCS7, Step7, Tia Portal)",Пермь,60000.0,120000.0,RUR,False
15920,46875837,IOS разработчик (Middle),Санкт-Петербург,,,,
15921,46875839,Тестировщик\Автотестировщик (Middle),Санкт-Петербург,,,,
15922,46876362,Системный администратор,Анжеро-Судженск,,,,
15923,46877050,Frontend-разработчик (Angular),Новосибирск,,,,
15924,46877125,Machine Learning Engineer,Новосибирск,,,,
15928,46878241,Java-разработчик,Новосибирск,130000.0,,RUR,False
15929,46878334,Middle Frontend developer (JS React),Екатеринбург,,,,
15930,46878458,Системный администратор,Новосибирск,,,,
15931,46878555,Системный администратор,Уфа,20000.0,24000.0,RUR,False
