,id,area_name,address_lat,address_lng,employer_id,employer_name
38514,48579885,Нижневартовск,,,1740,Яндекс
38515,48579886,Сыктывкар,,,1740,Яндекс
38518,48580098,Москва,55.709449,37.442311,4920409,РТ-Инжиниринг
38520,48580193,Ярославль,57.630212,39.869092,699324,fial
38536,48580826,Екатеринбург,56.836101,60.614578,4515,JetStyle
38539,48580906,Санкт-Петербург,59.912017,30.295117,46529,"Балтийский лизинг, группа компаний"
38541,48580962,Казань,55.76723,49.104222,841348,ОпенСервис
38542,48581019,Самара,53.203466837,50.1449834699,86890,СМС-ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ
38543,48581044,Нижний Новгород,,,62126,Sperasoft
38544,48581130,Москва,,,4934,Билайн
38545,48581192,Москва,55.836438,37.48172,1057,Лаборатория Касперского
38547,48581397,Нижний Новгород,,,62126,Sperasoft
38548,48581553,Пенза,,,1059681,ФораПром
38549,48581685,Москва,,,2733062,Лига Цифровой Экономики
38550,48581799,Тула,54.188007,37.609101,1234997,Защищенные Телекоммуникации
38551,48581864,Санкт-Петербург,59.95921,30.406131,1740,Яндекс
38553,48581992,Москва,,,2733062,Лига Цифровой Экономики
38557,48582228,Краснодар,,,953,КБ «Уральский банк реконструкции и развития» (УБРиР)
38558,48582229,Тюмень,,,953,КБ «Уральский банк реконструкции и развития» (УБРиР)
38559,48582234,Москва,55.759101,37.598034,4565111,КИК ЭКОСИСТЕМА
38560,48582269,Москва,55.735647,37.715138,4087984,Стройжилпром
38564,48582436,Москва,,,919498,Deus Craft
38565,48582496,Санкт-Петербург,59.963778,30.343383,3477768,SPBfiller
38566,48582535,Москва,,,10156,Интерфакс
38567,48582565,Владимир,56.127196,40.385479,2020022,ЛабСистемс
38568,48582574,Москва,55.743968,37.561625,1419129,VIM DIGITAL
38570,48582660,Москва,,,3151408,Ассоциация IPChain
38572,48582733,Москва,55.742975,37.617662,1111672,GeekBrains
38577,48583057,Санкт-Петербург,,,906557,SberTech
38578,48583105,Москва,55.806828,37.689626,624675,АНО СОШ «Академическая Гимназия»
38579,48583149,Москва,,,4330627,МКД АВТО РУС
38581,48583363,Санкт-Петербург,59.966502,30.311439,3758903,Onecloudspace
38583,48583468,Москва,,,1025176,Ресторанная группа Dreamteam
38585,48583527,Санкт-Петербург,59.902659,30.314494,89582,ЭлитСпецОбувь
38586,48583636,Санкт-Петербург,59.884302,30.38935,564657,ГАРВИН (ГК ГаражТулс)
38588,48583656,Москва,55.750981,37.755356,3177,Первый Бит
38589,48583722,Москва,55.698584,37.624453,8620,Rambler Group
38590,48583733,Смоленск,,,1740,Яндекс
38591,48583734,Вязьма,,,1740,Яндекс
38594,48583802,Москва,55.781879,37.707808,2571015,Химчистка Бианка
38595,48583818,Курган,,,1740,Яндекс
38596,48583819,Шадринск,,,1740,Яндекс
38597,48583828,Казань,,,1245158,МФК Саммит
38598,48583831,Смоленск,,,714423,Edisoft
38600,48583920,Москва,,,726980,WineStyle
38601,48583923,Краснодар,45.01762,38.959521,597191,Clever Technology
38603,48583938,Москва,,,4273381,Ди-Ай-Вай Сервис
38604,48583945,Нижний Новгород,,,1245158,МФК Саммит
38608,48584067,Москва,55.728145,37.64622,100424,"Единая электронная торговая площадка, АО (группа ВТБ)"
38610,48584239,Санкт-Петербург,59.935543,30.327349,880080,TransPerfect
38614,48584300,Санкт-Петербург,,,4446629,4people
38621,48584535,Москва,55.724104,37.504564,3266787,FinFort
38627,48584676,Санкт-Петербург,59.937887,30.267161,824009,220 Вольт
38628,48584683,Санкт-Петербург,,,6735,BCC Company
38632,48584767,Калуга,54.514771,36.242081,1959252,СберЗдоровье
38639,48585016,Москва,55.760879,37.718076,5068813,Е-КОМ ТЕХНОЛОДЖИ
38640,48585039,Москва,55.760874,37.718076,5068813,Е-КОМ ТЕХНОЛОДЖИ
38642,48585092,Санкт-Петербург,,,65660,"Максимум, Автомобильный холдинг"
38644,48585134,Москва,55.711356,37.683527,1208556,Marvelmind Robotics
38645,48585159,Санкт-Петербург,59.949582,30.265482,4471349,LuckyGroup
38646,48585168,Москва,,,15478,VK
38649,48585297,Москва,55.711356,37.683527,1208556,Marvelmind Robotics
38650,48585305,Москва,,,5676487,Винлаб
38651,48585308,Москва,55.787644,37.500468,32047,ТЕКОН-Инжиниринг
38653,48585333,Москва,,,3305437,Gear Games
38654,48585344,Москва,,,15478,VK
38656,48585402,Пермь,58.011251,56.24493,5235122,Stroki
38659,48585467,Москва,55.760874,37.718076,2009999,Премиум Бонус
38660,48585485,Москва,55.711356,37.683527,1208556,Marvelmind Robotics
38663,48585550,Москва,,,154,Diasoft
38665,48585557,Москва,55.796607,37.580032,2995414,Обоз
38668,48585654,Москва,,,2178463,Интернет-магазин Mario Berluchi
38669,48585691,Москва,55.713136,37.620222,2675795,AdGuard
38670,48585713,Москва,55.700892,37.625433,222045,"Борлас, Консалтинговая группа"
38676,48585930,Москва,55.739919,37.635745,1641540,Deutsche Bank Technology Center
38677,48585965,Владимир,,,21022,Спарго Технологии
38678,48585966,Иваново (Ивановская область),,,21022,Спарго Технологии
38679,48585971,Ростов-на-Дону,47.222482,39.735045,5745794,Спутник САПР
38691,48586061,Москва,55.700892,37.625433,222045,"Борлас, Консалтинговая группа"
38693,48586207,Москва,,,980603,Рилайнс
38694,48586218,Москва,55.783195,37.719423,3794560,Интем Лаб
38695,48586227,Чебоксары,56.146277,47.251079,3794560,Интем Лаб
38696,48586435,Санкт-Петербург,59.940258,30.369605,3733050,Loyalty Labs
38703,48586793,Москва,55.76172,37.604592,3846723,Автономная Некоммерческая организация Московский Экспортный Центр
38705,48586815,Москва,55.76172,37.604592,3846723,Автономная Некоммерческая организация Московский Экспортный Центр
38706,48586951,Москва,55.761279,37.663018,3304125,Нобилис Тим
38709,48587224,Санкт-Петербург,59.949122,30.358529,60975,DIS Group
38713,48587870,Москва,55.782856,37.599795,4215818,Мирамедикс
38715,48588513,Москва,55.71446,37.62431,1821409,Кухни Беларуси
38716,48588545,Владивосток,43.113732,131.925729,5267737,Бигль
38719,48589121,Новосибирск,55.067721,82.913495,1083682,AGAMA IT Group
38721,48589156,Красноярск,56.041149,92.839672,1918414,Грузовая механика
38724,48589375,Томск,56.472212,84.957386,3177,Первый Бит
38728,48589444,Бийск,,,3634424,Ростелеком Контакт-центр
38730,48589450,Рубцовск,,,3634424,Ростелеком Контакт-центр
38733,48589969,Барнаул,53.350977,83.76923,7944,Совкомбанк
38736,48590225,Калачинск,,,3634424,Ростелеком Контакт-центр
